age,gender,department,education,years_experience,salary,performance_score,satisfaction_score,work_life_balance,monthly_hours,num_projects,distance_from_home,attrition
50,Male,HR,High School,27,101732.0,3,3.0,Excellent,146.0,4,20.0,0
36,Female,HR,Master,11,67955.0,4,3.0,Good,116.0,1,11.0,0
29,Male,Sales,Master,6,54796.0,3,3.0,Fair,206.0,4,15.0,0
42,Female,Operations,Bachelor,19,,5,4.0,Good,138.0,3,5.0,0
40,Female,Finance,PhD,18,84908.0,5,3.0,Excellent,190.0,7,377.0,0
44,Male,HR,High School,22,89058.0,3,4.0,Excellent,204.0,2,17.0,0
32,Female,Sales,Master,9,55022.0,1,3.0,Fair,184.0,5,8.0,0
32,Male,Sales,Bachelor,8,51691.0,5,3.0,Good,180.0,5,12.0,0
45,Male,IT,Bachelor,23,96423.0,5,1.0,Poor,185.0,1,19.0,0
57,Male,Finance,Master,36,124676.0,2,1.0,Poor,195.0,1,3.0,0
45,Male,IT,Bachelor,24,223424.0,4,2.0,Good,189.0,5,1.0,1
24,Female,HR,Bachelor,0,22074.0,3,3.0,Good,144.0,1,,0
43,Male,Finance,Bachelor,24,97921.0,3,5.0,Excellent,220.0,2,1.0,0
23,Male,Sales,Master,0,43398.0,5,4.0,Fair,176.0,3,18.0,0
45,Male,Finance,High School,21,92052.0,3,3.0,Poor,187.0,3,16.0,0
51,Female,Sales,Bachelor,26,86070.0,5,3.0,Good,192.0,4,26.0,0
59,Male,Operations,PhD,36,158456.0,3,2.0,Poor,203.0,2,13.0,1
23,Female,IT,Master,1,41069.0,4,3.0,Poor,201.0,7,1.0,0
42,Male,Sales,Bachelor,21,87913.0,3,3.0,Fair,178.0,1,4.0,0
54,Female,IT,Master,34,136555.0,4,3.0,Good,176.0,1,,0
33,Female,IT,Master,9,57662.0,4,2.0,Fair,185.0,7,3.0,0
43,Female,Finance,Master,23,104105.0,3,2.0,Good,202.0,4,15.0,0
46,Female,Finance,Bachelor,25,86328.0,4,1.0,Poor,147.0,4,19.0,0
48,Male,HR,Bachelor,29,113675.0,3,2.0,Fair,191.0,1,5.0,0
49,Female,Sales,Bachelor,30,98918.0,2,4.0,Good,152.0,1,5.0,0
37,Male,Sales,Bachelor,17,72808.0,4,3.0,Fair,221.0,7,,0
36,Male,Sales,Bachelor,14,67448.0,3,3.0,Good,184.0,2,24.0,0
24,Male,HR,High School,1,38774.0,4,4.0,Poor,164.0,7,4.0,0
58,Female,Operations,Master,36,145747.0,4,5.0,Good,185.0,4,,1
28,Male,IT,Bachelor,8,46384.0,4,5.0,Fair,175.0,7,11.0,0
42,Female,Sales,Bachelor,20,89109.0,2,4.0,Fair,170.0,7,59.0,0
30,Female,HR,Master,9,78262.0,3,1.0,Good,129.0,7,2.0,0
39,Female,Finance,Bachelor,15,68825.0,3,4.0,Excellent,149.0,2,,0
25,Female,Finance,High School,3,33098.0,4,4.0,Poor,171.0,6,22.0,1
